projectId,name,priority,difficulty,status,lastUpdated,dueDate,organisationName,percentMapped,percentValidated,totalArea,country,creation_date,totalContributors,author
29376,Mapping Mont Béro Classified Fores t: Roads and Waterways,HIGH,MODERATE,PUBLISHED,2025-11-02 12:03:42.133379,,FreeLocalMappers,73.68,11.11,267.061,['Guinea'],2025-09-08 13:14:37.960726,55,Moussa Diallo
28419,"Heavy Rain in Kyushu Island, 2025 Farmland and Road Mapping. Tamana, Kumamoto, Japan",HIGH,EASY,PUBLISHED,2025-10-24 10:08:25.747480,2026-09-29 15:00:00,Crisis Mappers Japan,100.00,18.18,154.523,['Japan'],2025-08-25 12:10:26.184592,367,Ayame Otsuki
28188,"Buildings in Ona-Ara, Nigeria for health campaign",HIGH,MODERATE,PUBLISHED,2025-11-01 15:07:58.781875,2025-08-27 04:00:00,American Red Cross,100.00,11.01,194.603,['Nigeria'],2025-08-21 20:58:57.504395,285,danbjoseph
27594,"Heavy Rain in Kyushu Island, 2025 Building and Road Mapping. Kumamoto, Kumamoto, Japan",HIGH,EASY,PUBLISHED,2025-11-02 10:01:08.030787,2026-09-29 15:00:00,Crisis Mappers Japan,71.33,4.71,398.636,['Japan'],2025-08-16 05:18:30.338361,1330,Ayame Otsuki
27331,"Heavy Rain in Kyushu Island, 2025 Building and Road Mapping. Aira, Kagoshima, Japan",HIGH,EASY,PUBLISHED,2025-11-02 16:00:40.622213,2026-09-29 15:00:00,Crisis Mappers Japan,77.01,10.87,254.558,['Japan'],2025-08-13 04:53:59.682636,333,Ayame Otsuki
27299,Mapatón Nacional México Tuxtla Gutiérrez Validation,HIGH,CHALLENGING,PUBLISHED,2025-11-02 06:20:52.102927,2025-09-30 05:00:00,Open Mapping Hub for Latin America and the Caribbean,99.98,38.66,71.007,['Mexico'],2025-08-12 17:20:13.023874,27,Juan Carlos Melo Luna
27298,National Mapathon Mexico Tuxtla Gutiérrez,HIGH,CHALLENGING,PUBLISHED,2025-11-01 06:51:58.477056,2025-09-30 05:00:00,Open Mapping Hub for Latin America and the Caribbean,53.57,5.27,20.432,['Mexico'],2025-08-12 17:04:02.148098,50,Juan Carlos Melo Luna
27198,"Heavy Rain in Kyushu Island, 2025 Building and Road Mapping. Yatsushiro, Kumamoto, Japan",HIGH,EASY,PUBLISHED,2025-11-02 14:27:39.969054,2026-09-29 15:00:00,Crisis Mappers Japan,83.75,10.44,694.995,['Japan'],2025-08-12 14:07:17.985986,274,Taichi Furuhashi
27165,"Heavy Rain in Kyushu Island, 2025 Building and Road Mapping. Kirishima, Kagoshima, Japan",HIGH,EASY,PUBLISHED,2025-11-02 16:02:54.024143,2026-09-29 15:00:00,Crisis Mappers Japan,38.48,37.21,645.107,['Japan'],2025-08-12 11:55:47.025970,461,Taichi Furuhashi
24360,"Benue State-Map Nigeria Monthly Mapathon Campaign- Let's Map Katsina-Ala LGA for  IDPs, Flood Response and Social Good-Nigeria",HIGH,EASY,PUBLISHED,2025-11-01 22:57:47.915759,,"Unique Mappers Network, Nigeria",85.19,17.73,2740.232,['Nigeria'],2025-06-26 05:39:15.358781,835,Victor N.Sunday
24129,"Mapping Community Risk Management, Eastern Hillside, Communes 1 and 3",HIGH,CHALLENGING,PUBLISHED,2025-10-30 22:21:20.124833,2025-06-30 05:00:00,Centro de Estudios  Pomote de Unaula,88.07,67.43,9.470,['Colombia'],2025-06-24 16:59:48.917206,253,Leonardo Jiménez garcia
22149,Mozambique Mapped-Growing Cities: South Region - Xai-Xai ,HIGH,EASY,PUBLISHED,2025-10-09 16:13:11.275899,,#MapeandoMeuBairro,100.00,72.03,39.321,['Mozambique'],2025-06-05 12:01:36.234959,703,Gertrudes Lisa Melembe
21489,Risk Management Mapping – La Loma – San Cristóbal,HIGH,CHALLENGING,PUBLISHED,2025-10-02 17:08:15.691004,2025-07-30 05:00:00,Centro de Estudios  Pomote de Unaula,100.00,11.43,0.616,['Colombia'],2025-05-27 15:20:19.848963,65,Leonardo Jiménez garcia
20004,"Missing Maps: Residential Areas in South Rutshuru, Democratic Republic of the Congo (5)",HIGH,CHALLENGING,PUBLISHED,2025-10-31 20:13:08.042086,,Médecins Sans Frontières (MSF) ,94.81,94.81,74.725,['Democratic Republic of the Congo'],2025-05-07 09:37:06.640983,28,Patrik Brigant
19873,Climate Resilient Coastal Communities: Port aux Basques and Western Newfoundland (Part 3),HIGH,MODERATE,PUBLISHED,2025-06-15 21:14:20.770523,,Canadian Red Cross,100.00,8.46,1485.835,['Canada'],2025-05-06 23:06:56.133262,270,Magdalen Thot
19146,Mapping for Sudan   :  Khartoum 17,HIGH,CHALLENGING,PUBLISHED,2025-11-02 15:04:07.822440,,Open Mapping Hub ESA,57.45,37.77,105.998,['Sudan'],2025-04-28 12:09:04.661677,540,Geoffrey Kateregga
19047,"Climate Resilient Coastal Communities: Port aux Basques, Newfoundland and Labrador, Canada (Part 2)",HIGH,EASY,PUBLISHED,2025-05-14 17:42:32.645475,,Canadian Red Cross,100.00,1.40,4612.255,['Canada'],2025-04-25 20:13:20.443404,105,Magdalen Thot
18438,Amazon mapping in Perú in support of community-based disaster management Chachapoyas,HIGH,MODERATE,PUBLISHED,2025-11-02 13:10:08.105277,2025-05-24 05:00:00,Open Mapping Hub for Latin America and the Caribbean,99.83,30.25,5.817,['Peru'],2025-02-17 17:16:30.758706,174,Juan Carlos Melo Luna
18418,Mapping Nyarugusu Refuge Camp South Part 2,HIGH,MODERATE,PUBLISHED,2025-10-20 18:42:55.100206,,Open Mapping Hub ESA,21.88,8.33,7.203,['Tanzania'],2025-02-07 16:30:38.452459,22,Becky Candy
18417,Mapping Nyarugusu Refuge Camp South Part 1,HIGH,MODERATE,PUBLISHED,2025-08-26 05:00:48.656725,,Open Mapping Hub ESA,33.63,26.68,8.634,['Tanzania'],2025-02-07 16:28:51.196970,22,Becky Candy
18416,Mapping Nyarugusu Refuge Camp North Part 2,HIGH,MODERATE,PUBLISHED,2025-07-23 09:17:43.992656,,Open Mapping Hub ESA,10.70,1.17,10.276,['Tanzania'],2025-02-07 16:24:05.023040,15,Becky Candy
18415,Mapping Nyarugusu Refuge Camp North Part 1,HIGH,MODERATE,PUBLISHED,2025-05-25 09:04:12.729476,,Open Mapping Hub ESA,79.70,0.61,6.213,['Tanzania'],2025-02-07 16:01:38.724736,23,Becky Candy
17948,Spain Floods 2024: Valencia Roads and Paths (other affected municipalities),HIGH,MODERATE,PUBLISHED,2025-10-22 22:36:10.397893,,OSM España,100.00,76.69,2610.390,['Spain'],2024-11-02 08:14:38.724811,697,Héctor Ochoa Ortiz
17939,"Moyen-Chari (Sarh), definition of levels of accessibility to health centres",HIGH,MODERATE,PUBLISHED,2025-10-30 10:50:00.424695,2024-12-29 23:00:00,CartONG,100.00,82.38,4934.706,['Chad'],2024-10-30 10:58:25.595791,90,Michelet
17644,Roads for Emergency basemaps -Bago Township - Bago,HIGH,MODERATE,PUBLISHED,2025-10-25 09:59:19.628639,2024-10-21 17:00:00,myOSM,100.00,74.16,2909.239,['Myanmar'],2024-09-23 06:32:31.455987,13,Chit San Ko
17624,"Medellín, proyecto mapeo ladera Comuna 8",HIGH,MODERATE,PUBLISHED,2025-10-05 07:23:35.736016,2024-12-04 05:00:00,Centro de Estudios  Pomote de Unaula,100.00,16.82,1.648,['Colombia'],2024-09-20 18:31:19.489698,172,Leonardo Jiménez garcia
17249,"Makira, Solomon Islands - Map Buildings",HIGH,MODERATE,PUBLISHED,2025-10-20 09:13:49.329511,,Open Mapping Hub Asia-Pacific,100.00,97.35,480.966,['Solomon Islands'],2024-07-22 04:04:54.250476,303,Madaam
17059,Amazon mapping in Perú in support of community-based disaster management Rioja,HIGH,MODERATE,PUBLISHED,2025-10-24 19:52:51.428263,2024-07-06 05:00:00,Open Mapping Hub for Latin America and the Caribbean,100.00,85.10,44.687,['Peru'],2024-06-25 10:53:37.579952,474,Juan Carlos Melo Luna
16650,Empowering Communities: Climate Campaign for Resilience and Security Mapping-Kenya 13,HIGH,MODERATE,PUBLISHED,2025-11-02 16:02:29.393148,,Open Mapping Hub ESA,99.64,43.32,3.682,['Kenya'],2024-04-23 09:02:50.801103,37,Becky Candy
16649,Empowering Communities: Climate Campaign for Resilience and Security Mapping-Kenya 12,HIGH,MODERATE,PUBLISHED,2025-02-15 09:51:40.533810,,Open Mapping Hub ESA,100.00,0.00,5.131,['Kenya'],2024-04-23 08:58:00.644940,117,Becky Candy
16647,Empowering Communities: Climate Campaign for Resilience and Security Mapping-Kenya 10,HIGH,MODERATE,PUBLISHED,2025-07-19 07:36:26.837953,,Open Mapping Hub ESA,100.00,1.71,9.277,['Kenya'],2024-04-23 08:46:53.077849,27,Becky Candy
16646,Empowering Communities: Climate Campaign for Resilience and Security Mapping-Kenya 9,HIGH,MODERATE,PUBLISHED,2025-10-31 19:47:09.433243,,Open Mapping Hub ESA,84.41,1.47,5.660,['Kenya'],2024-04-23 08:32:37.434006,85,Becky Candy
16645,Empowering Communities: Climate Campaign for Resilience and Security Mapping-Kenya 8,HIGH,MODERATE,PUBLISHED,2024-05-17 08:38:22.105748,,Open Mapping Hub ESA,100.00,33.68,9.533,['Kenya'],2024-04-23 08:27:23.891161,4,Becky Candy
16644,Empowering Communities: Climate Campaign for Resilience and Security Mapping-Kenya 7,HIGH,MODERATE,PUBLISHED,2025-07-29 13:42:15.394783,,Open Mapping Hub ESA,100.00,4.78,12.876,['Kenya'],2024-04-23 08:01:21.188855,21,Becky Candy
16643,Empowering Communities: Climate Campaign for Resilience and Security Mapping-Kenya 6,HIGH,MODERATE,PUBLISHED,2025-07-15 15:07:11.825561,,Open Mapping Hub ESA,100.00,19.73,7.785,['Kenya'],2024-04-23 07:52:47.010930,50,Becky Candy
16571,Empowering Communities: Climate Campaign for Resilience and Security Mapping-Kenya 4,HIGH,MODERATE,PUBLISHED,2025-06-22 16:58:54.086779,,Open Mapping Hub ESA,100.00,4.96,36.112,['Kenya'],2024-04-15 07:56:43.285638,136,Becky Candy
15964,Yei River State- Mapping for returnees,HIGH,EASY,PUBLISHED,2025-10-20 02:41:21.837593,,OSM South Sudan,100.00,100.00,1440.677,['South Sudan'],2024-01-19 14:13:04.058151,1192,Romeo RONALD  LOMORA
15466,"OSMVN- SLSI - WEEKLY MAPPING: TRA MY TOWN PATCHED, BAC TRA MY MAPATHON",HIGH,MODERATE,PUBLISHED,2024-11-04 14:28:10.442491,,OSM Vietnam,100.00,12.40,25.774,['Vietnam'],2023-09-06 14:46:02.592238,51,Huy Nguyễn
15418,Brasil - Populations in Flood Risk Zones -  Lower River São Francisco - Area 03,HIGH,MODERATE,PUBLISHED,2025-10-13 07:55:46.205865,2024-08-31 03:00:00,Canoa de Tolda,100.00,0.12,212.810,['Brazil'],2023-08-21 18:46:24.302326,7,Carlos Eduardo Ribeiro Junior
15417,Brasil - Populations in Flood Risk Zones -  Lower River São Francisco - Area 02,HIGH,MODERATE,PUBLISHED,2025-06-18 15:08:01.185302,2024-08-31 03:00:00,Canoa de Tolda,100.00,49.23,34.745,['Brazil'],2023-08-21 17:55:01.955096,6,Carlos Eduardo Ribeiro Junior
14868,Mapathon for IFRC CP3 Project (Narok South B),HIGH,EASY,PUBLISHED,2025-11-02 10:38:44.485031,2023-08-30 21:00:00,Kenya Red Cross,98.19,62.06,3806.161,['Kenya'],2023-05-23 06:11:04.238281,1290,Boneya Hassan
14811,"USAID TerresEauVie Niger Activity, Commune Urbaine de Guidan Roumdji, Maradi, Niger",HIGH,MODERATE,PUBLISHED,2025-07-19 09:39:37.652735,,Winrock International,100.00,90.73,1070.919,['Niger'],2023-05-10 13:51:12.898197,242,IDE Habibou
12803,"Missing Maps: Kisangani, Democratic Republic of Congo (1)",HIGH,MODERATE,PUBLISHED,2025-11-02 11:00:39.772103,,Médecins Sans Frontières (MSF) ,99.29,79.69,132.443,['Democratic Republic of the Congo'],2022-06-14 16:18:46.918831,761,Jorieke Vyncke
33798,"Missing Maps (Wildfires) : Holyrood & Carbonear, Newfoundland, Canada",MEDIUM,MODERATE,PUBLISHED,2025-11-02 00:15:51.272107,,Canadian Red Cross,10.29,0.00,239.483,['Canada'],2025-10-30 13:28:20.891600,32,Lisa Thriy
33699,Argentina - Mapeando paisajes,MEDIUM,MODERATE,PUBLISHED,2025-11-02 14:01:23.660698,,TomTom,88.89,0.00,1.201,['Argentina'],2025-10-29 13:30:23.443855,23,spughetti_tomtom
33666,Nawaikoke sub-county - Kaliro District- Climate Change Mapping Busoga Region,MEDIUM,EASY,PUBLISHED,2025-11-02 15:28:04.105321,,MapUganda,94.90,20.78,268.774,['Uganda'],2025-10-28 15:52:52.103144,38,Awania  Morish
33336,Mapping for Disaster Preparedness in Viqueque,MEDIUM,MODERATE,PUBLISHED,2025-11-01 11:51:32.130976,,OpenStreetMap Timor-Leste,43.56,0.50,1879.778,['East Timor'],2025-10-23 02:06:09.221088,39,Ponciano da Costa de Jesus
33303,Namwiwa sub-county - Kaliro District- Climate Change Mapping Busoga Region,MEDIUM,EASY,PUBLISHED,2025-10-29 20:10:32.036099,,MapUganda,100.00,1.91,150.173,['Uganda'],2025-10-22 06:57:17.568573,43,Awania  Morish
33204,"Missing Maps (Wildfires) : Conception Bay North, Newfoundland, Canada",MEDIUM,MODERATE,PUBLISHED,2025-11-01 09:18:51.080374,,Canadian Red Cross,91.94,1.61,96.646,['Canada'],2025-10-20 22:22:00.214928,30,Lisa Thriy
33105,Mapping for Resilience:MUAST YM Launch,MEDIUM,EASY,PUBLISHED,2025-11-01 16:53:41.143011,,OSM Zimbabwe,82.71,35.34,83.296,['Zimbabwe'],2025-10-17 18:28:27.195472,114,Ruvimbo Doreen Supiya
32973,Matutuíne District Mozambique Schools Validation,MEDIUM,EASY,PUBLISHED,2025-10-30 11:23:53.018409,,Open Mapping Hub ESA,3.11,0.44,1184.687,['Mozambique'],2025-10-15 15:57:09.528049,12,Geoffrey Kateregga
32875,Amazon mapping in Colombia in support of community-based disaster management,MEDIUM,EASY,PUBLISHED,2025-11-01 16:43:51.905415,,Open Mapping Hub for Latin America and the Caribbean,27.78,0.05,636.149,['Colombia'],2025-10-14 14:59:53.805985,241,Juan Carlos Melo Luna
32808,Mapping Buildings on Curaçao for Disaster Preparedness - Part 3,MEDIUM,MODERATE,PUBLISHED,2025-11-01 05:37:02.860760,,TomTom,20.30,18.78,41.090,['Curacao'],2025-10-10 13:30:01.494426,73,Cas van Groenigen
32643,Mapping for BRASS Project in Suku Matai,MEDIUM,MODERATE,PUBLISHED,2025-10-11 01:00:30.943274,,OpenStreetMap Timor-Leste,96.23,96.23,13.518,['East Timor'],2025-10-09 03:25:18.912859,11,Ponciano da Costa de Jesus
32610,Cidade Mozambique Schools Validation,MEDIUM,EASY,PUBLISHED,2025-10-15 09:02:09.091443,,Open Mapping Hub ESA,0.00,0.00,135.278,['Mozambique'],2025-10-08 15:24:25.067712,3,Geoffrey Kateregga
32445,Gadumire sub-county - Kaliro District- Climate Change Mapping Busoga Region,MEDIUM,EASY,PUBLISHED,2025-10-22 12:38:25.532125,,MapUganda,100.00,91.53,158.513,['Uganda'],2025-10-07 18:13:45.634506,14,Awania  Morish
32379,National Mapathon México Tlalnehuayocan y San Marcos Veracruz,MEDIUM,MODERATE,PUBLISHED,2025-10-31 19:51:48.345673,2025-11-01 05:00:00,Open Mapping Hub for Latin America and the Caribbean,99.47,0.27,5.269,['Mexico'],2025-10-07 16:34:03.483984,52,Juan Carlos Melo Luna
32214,Malongo Division - Mayuge District- Climate Change Mapping Busoga Region,MEDIUM,EASY,PUBLISHED,2025-11-01 10:37:25.741809,,MapUganda,96.15,28.05,861.196,['Uganda'],2025-10-03 16:07:11.894507,114,Awania  Morish
32181,Masese Walukuba Division jinja- Climate Change Mapping,MEDIUM,EASY,PUBLISHED,2025-10-29 09:11:44.818713,,MapUganda,81.08,50.00,38.897,['Uganda'],2025-10-02 16:37:15.539798,16,Awania  Morish
31851,"Missing Maps: Residential Areas in Ouaddai, Chad (7) ",MEDIUM,MODERATE,PUBLISHED,2025-10-31 19:40:12.296068,,Médecins Sans Frontières (MSF) ,100.00,100.00,334.820,['Chad'],2025-09-30 13:19:00.731282,33,bluestarfish
31785,National Mapathon México Medellín Veracruz ,MEDIUM,EASY,PUBLISHED,2025-10-02 14:38:01.407221,2025-10-04 05:00:00,Open Mapping Hub for Latin America and the Caribbean,100.00,48.76,0.797,['Mexico'],2025-09-29 11:59:48.139033,61,Juan Carlos Melo Luna
31686,Mayotte Cyclone Chido - buildings damage assessment - Sohoa Chiconi Tangani South,MEDIUM,MODERATE,PUBLISHED,2025-11-01 22:26:30.047846,,OSM France,100.00,8.33,1.449,['France'],2025-09-28 19:18:34.356926,22,SeverinGeo
31422,Kiruruma Buildings Mapping,MEDIUM,EASY,PUBLISHED,2025-11-01 22:42:29.092733,,MapUganda,100.00,74.17,33.328,['Uganda'],2025-09-24 14:13:00.786513,57,Geoffrey Kateregga
31093,Rizomapas para la Incidencia: Santa Mónica,MEDIUM,EASY,PUBLISHED,2025-10-25 02:01:01.705722,2025-10-20 06:00:00,Netas Ciudadanas,53.13,0.00,0.638,['Mexico'],2025-09-21 05:11:24.455669,57,Mar Marín
30795,National Mapathon México  San Miguel del Puerto  Oaxaca,MEDIUM,EASY,PUBLISHED,2025-10-21 20:58:34.485631,2025-10-04 05:00:00,Open Mapping Hub for Latin America and the Caribbean,100.00,97.46,70.322,['Mexico'],2025-09-18 17:20:11.082137,63,Juan Carlos Melo Luna
30762,National Mapathon México  Cabos Baja California Sur,MEDIUM,MODERATE,PUBLISHED,2025-10-02 14:38:18.962300,2025-10-04 05:00:00,Open Mapping Hub for Latin America and the Caribbean,100.00,43.40,25.568,['Mexico'],2025-09-18 16:28:35.756509,192,Juan Carlos Melo Luna
30729,Mapping Bortianor for Resilience and Smart City Development,MEDIUM,EASY,PUBLISHED,2025-10-31 20:56:29.734666,,OSM Ghana,57.77,30.07,68.258,['Ghana'],2025-09-18 13:47:17.290339,164,Daniel Osei Agyeman 
30498,National Mapathon México Chilón Chiapas,MEDIUM,EASY,PUBLISHED,2025-10-02 14:38:27.664657,2025-10-04 05:00:00,Open Mapping Hub for Latin America and the Caribbean,100.00,8.25,831.314,['Mexico'],2025-09-16 15:55:40.773824,339,Juan Carlos Melo Luna
30234,"Missing Maps: Roads in Twic County, South Sudan (2)",MEDIUM,MODERATE,PUBLISHED,2025-11-01 17:19:28.029256,,Médecins Sans Frontières (MSF) ,15.20,4.09,734.170,['South Sudan'],2025-09-16 09:05:07.567810,16,bluestarfish
30003,Tarsin landslide,MEDIUM,MODERATE,PUBLISHED,2025-10-25 11:57:41.119533,,OSM Sudan,28.30,0.13,65.304,['Sudan'],2025-09-12 14:41:31.103806,29,HASSAN ARABAB
29839,National Mapathon México Tula Hidalgo,MEDIUM,MODERATE,PUBLISHED,2025-10-25 09:18:33.292321,2025-09-30 05:00:00,Open Mapping Hub for Latin America and the Caribbean,100.00,100.00,4.789,['Mexico'],2025-09-11 15:34:45.428116,48,Juan Carlos Melo Luna
29706,National Mapathon México Mitontic Chiapas,MEDIUM,EASY,PUBLISHED,2025-10-02 14:38:43.798377,2025-10-03 05:00:00,Open Mapping Hub for Latin America and the Caribbean,100.00,11.36,53.206,['Mexico'],2025-09-11 04:00:48.088528,101,Juan Carlos Melo Luna
29475,"Missing Maps: Roads in Twic County, South Sudan (1)",MEDIUM,MODERATE,PUBLISHED,2025-10-30 09:22:33.066427,,Médecins Sans Frontières (MSF) ,79.40,5.53,844.949,['South Sudan'],2025-09-09 11:22:39.350175,76,bluestarfish
29277,National Mapathon México Huehuetán Chiapas Rural,MEDIUM,EASY,PUBLISHED,2025-10-02 14:38:51.304945,2025-10-04 05:00:00,Open Mapping Hub for Latin America and the Caribbean,100.00,39.17,224.383,['Mexico'],2025-09-06 14:02:29.632103,144,Juan Carlos Melo Luna
29145,National Mapathon Peru Tingo María Amazon,MEDIUM,CHALLENGING,PUBLISHED,2025-09-20 03:47:39.219425,2025-10-04 05:00:00,Open Mapping Hub for Latin America and the Caribbean,100.00,0.18,10.432,['Peru'],2025-09-04 17:07:04.268052,25,Juan Carlos Melo Luna
29112,National Mapathon Peru Puerto Súngaro Amazon,MEDIUM,EASY,PUBLISHED,2025-10-07 21:55:05.346880,2025-10-04 05:00:00,Open Mapping Hub for Latin America and the Caribbean,100.00,79.39,2.055,['Peru'],2025-09-04 16:16:12.804923,52,Juan Carlos Melo Luna
29081,National Mapathon Peru Mariela Amazon,MEDIUM,EASY,PUBLISHED,2025-09-17 20:51:05.481669,2025-10-04 05:00:00,Open Mapping Hub for Latin America and the Caribbean,100.00,0.00,3.689,['Peru'],2025-09-04 15:58:37.658683,33,Juan Carlos Melo Luna
28947,National Mapathon México Huehuetán Chiapas,MEDIUM,MODERATE,PUBLISHED,2025-10-02 14:38:58.923070,2025-10-04 05:00:00,Open Mapping Hub for Latin America and the Caribbean,100.00,36.11,2.989,['Mexico'],2025-09-02 21:17:59.158175,54,Juan Carlos Melo Luna
28848,Mayotte Cyclone Chido - buildings damage assessment - Sohoa Chiconi Tangani North,MEDIUM,MODERATE,PUBLISHED,2025-09-28 19:20:24.242871,,OSM France,100.00,0.00,1.818,['France'],2025-08-31 09:48:39.129065,13,SeverinGeo
28818,National Mapathon México Solidaridad Quintana Roo,MEDIUM,EASY,PUBLISHED,2025-10-02 14:39:06.043508,2025-10-13 05:00:00,Open Mapping Hub for Latin America and the Caribbean,100.00,15.70,311.970,['Mexico'],2025-08-30 15:17:01.506772,165,Juan Carlos Melo Luna
28817,National Mapathon México Ecatepc Estado de México,MEDIUM,EASY,PUBLISHED,2025-09-23 15:27:39.017250,2025-09-06 05:00:00,Open Mapping Hub for Latin America and the Caribbean,100.00,76.47,5.400,['Mexico'],2025-08-30 15:02:47.348675,46,Juan Carlos Melo Luna
28782,National Mapathon México Ixtlan Rural Michoacan,MEDIUM,EASY,PUBLISHED,2025-09-05 13:15:06.457327,2025-09-06 05:00:00,Open Mapping Hub for Latin America and the Caribbean,100.00,67.06,50.862,['Mexico'],2025-08-28 22:53:14.777714,62,Juan Carlos Melo Luna
28716,Missing Maps: roads and villages in north Côte d’Ivoire,MEDIUM,MODERATE,PUBLISHED,2025-10-29 19:38:10.768499,,Médecins Sans Frontières (MSF) ,18.18,0.00,573.755,"[""Côte d'Ivoire""]",2025-08-28 09:04:05.599541,20,Jorieke Vyncke
28518,National Mapathon México Sitalá Chiapas,MEDIUM,EASY,PUBLISHED,2025-09-25 00:00:03.852353,2025-09-06 05:00:00,Open Mapping Hub for Latin America and the Caribbean,100.00,94.12,1.026,['Mexico'],2025-08-25 16:11:03.183987,64,Juan Carlos Melo Luna
28155,Mayotte Cyclone Chido - buildings damage assessment - Vahibé,MEDIUM,MODERATE,PUBLISHED,2025-08-31 13:59:44.731898,,OSM France,100.00,1.18,0.677,['France'],2025-08-21 19:16:04.675894,12,SeverinGeo
28123,National Mapathon Mexico San Lucas Oaxaca,MEDIUM,EASY,PUBLISHED,2025-09-23 15:50:18.736111,2025-08-31 05:00:00,Open Mapping Hub for Latin America and the Caribbean,100.00,75.15,167.010,['Mexico'],2025-08-21 16:30:13.157831,105,Juan Carlos Melo Luna
28122,National Mapathon San José Independencia Oaxaca,MEDIUM,EASY,PUBLISHED,2025-09-03 15:15:25.977000,2025-08-31 05:00:00,Open Mapping Hub for Latin America and the Caribbean,100.00,40.43,43.269,['Mexico'],2025-08-21 16:27:02.330167,45,Juan Carlos Melo Luna
28090,National Mapathon Mexico Huehuetlan San Luis,MEDIUM,EASY,PUBLISHED,2025-09-05 13:14:40.648131,2025-08-31 05:00:00,Open Mapping Hub for Latin America and the Caribbean,100.00,6.42,69.957,['Mexico'],2025-08-21 16:18:40.125040,98,Juan Carlos Melo Luna
28089,National Mapathon Mexico Acaponeta Nayarit,MEDIUM,EASY,PUBLISHED,2025-10-06 00:20:27.099851,2025-08-31 05:00:00,Open Mapping Hub for Latin America and the Caribbean,100.00,55.53,141.158,['Mexico'],2025-08-21 16:12:01.466736,177,Juan Carlos Melo Luna
27924,National Mapathon Mexico Lázaro Cárdenas,MEDIUM,EASY,PUBLISHED,2025-10-02 14:39:20.391009,2025-09-30 05:00:00,Open Mapping Hub for Latin America and the Caribbean,100.00,49.80,250.159,['Mexico'],2025-08-19 21:36:48.572950,252,Juan Carlos Melo Luna
